Name,Cooldown,Effect Duration,Item Effect,Item Trigger,Sort Key,Stats,Tier,Type,Upgrades From,Upgrades To
Extra Charge,N/A,N/A,None,None,1 Extra Charge,"Bonus Ability Charges, Bonus Spirit Power for Charged Abilities",1,Spirit,0,1
Extra Spirit,N/A,N/A,None,None,1 Extra Spirit,Increased Spirit Power,1,Spirit,0,2
Mystic Burst,14,N/A,Spirit Damage,Damage,1 Mystic Burst,None,1,Spirit,0,1
Mystic Expansion,N/A,N/A,Increased Ability Range,Use Imbued Ability,1 Mystic Expansion,None,1,Spirit,0,1
Mystic Regeneration,7,7,Increased Regeneration,Spirit Damage,1 Mystic Regeneration,Bonus Health,1,Spirit,0,1
Rusted Barrel,16,5,Decreased Fire Rate,Use Item,1 Rusted Barrel,"Bonus Health, Increased Sprint Speed",1,Spirit,0,1
Spirit Strike,8,6,"Decreased Spirit Resist, Spirit Damage","Heavy Melee, Light Melee",1 Spirit Strike,None,1,Spirit,0,1
Golden Goose Egg,N/A,N/A,Golden Statue Buffs,Use Item,1 Golden Goose Egg,None,1,Spirit,0,0
Arcane Surge,N/A,7,"Increased Ability Duration, Increased Ability Range, Increased Spirit Power",Dash-Jump,2 Arcane Surge,"Increased Stamina, Increased Stamina Recovery",2,Spirit,1,0
Bullet Resist Shredder,N/A,8,Decreased Bullet Resist,Damage,2 Bullet Resist Shredder,"Increased Bullet Resist, Increased Weapon Damage",2,Spirit,0,0
Cold Front,25,4,"Movement Slow, Spirit Damage",Use Item,2 Cold Front,Increased Spirit Resist,2,Spirit,0,1
Compress Cooldown,N/A,N/A,Cooldown Reduction,None,2 Compress Cooldown,None,2,Spirit,0,1
Duration Extender,N/A,N/A,Increased Duration,None,2 Duration Extender,None,2,Spirit,0,1
Improved Spirit,N/A,N/A,None,None,2 Improved Spirit,"Increased Out of Combat Regen, Increased Spirit Power",2,Spirit,1,1
Mystic Slow,N/A,2,Decreased Move Speed,Spirit Damage,2 Mystic Slow,"Bonus Health, Increased Sprint Speed",2,Spirit,0,1
Mystic Vulnerability,N/A,7,Decreased Spirit Resist,Spirit Damage,2 Mystic Vulnerability,Increased Spirit Resist,2,Spirit,0,1
Quicksilver Reload,18,N/A,"Increased Fire Rate, Weapon Reload",Ability Use,2 Quicksilver Reload,None,2,Spirit,0,1
Slowing Hex,27,3.5,"Decreased Dash Distance, Movement Slow",Use Item,2 Slowing Hex,Increased Sprint Speed,2,Spirit,0,1
Spirit Sap,18,12,"Decreased Spirit Power, Decreased Spirit Resist",Use Item,2 Spirit Sap,Bonus Health,2,Spirit,0,1
Suppressor,N/A,5,Decreased Fire Rate,Spirit Damage,2 Suppressor,"Increased Bullet Resist, Increased Spirit Power",2,Spirit,0,0
Extra Health,N/A,N/A,None,None,1 Extra Health,Bonus Health,1,Vitality,0,2
Extra Regen,N/A,N/A,None,None,1 Extra Regen,"Increased Health Regen, Increased Out of Combat Regen",1,Vitality,0,1
Extra Stamina,N/A,N/A,None,None,1 Extra Stamina,"Increased Stamina, Increased Stamina Recovery",1,Vitality,0,3
Healing Rite,70,20,"Increased Move Speed, Regen",Use Item,1 Healing Rite,None,1,Vitality,0,2
Melee Lifesteal,8,N/A,Heal,Melee,1 Melee Lifesteal,Increased Melee Damage,1,Vitality,0,1
