Name,Cooldown,Effect Duration,Effect Type,Item Effect,Item Trigger,Stats,Tier,Type,Upgrades From,Upgrades To
Extra Charge,N/A,N/A,,None,None,"Bonus Ability Charges, Bonus Spirit Power for Charged Abilities",1,Spirit,0,1
Extra Spirit,N/A,N/A,,None,None,Increased Spirit Power,1,Spirit,0,2
Mystic Burst,14s,N/A,Passive,Spirit Damage,Damage,None,1,Spirit,0,1
Mystic Expansion,N/A,N/A,"Imbue, Passive",Increased Ability Range,Use Imbued Ability,None,1,Spirit,0,1
Mystic Regeneration,7s,7s,Passive,Increased Regeneration,Spirit Damage,Bonus Health,1,Spirit,0,1
Rusted Barrel,16s,5s,Active,Decreased Fire Rate,Use Item,"Bonus Health, Increased Sprint Speed",1,Spirit,0,1
Spirit Strike,8s,6s,Passive,"Decreased Spirit Resist, Spirit Damage","Heavy Melee, Light Melee",None,1,Spirit,0,1
Golden Goose Egg,N/A,N/A,Active,Golden Statue Buffs,Use Item,None,1,Spirit,0,0
Arcane Surge,N/A,7s,Passive,"Increased Ability Duration, Increased Ability Range, Increased Spirit Power",Dash-Jump,"Increased Stamina, Increased Stamina Recovery",2,Spirit,1,0
Bullet Resist Shredder,N/A,8s,Passive,Decreased Bullet Resist,Damage,"Increased Bullet Resist, Increased Weapon Damage",2,Spirit,0,0
Cold Front,25s,4s,Active,"Movement Slow, Spirit Damage",Use Item,Increased Spirit Resist,2,Spirit,0,1
Compress Cooldown,N/A,N/A,"Imbue, Passive",Cooldown Reduction,None,None,2,Spirit,0,1
Duration Extender,N/A,N/A,"Imbue, Passive",Increased Duration,None,None,2,Spirit,0,1
Improved Spirit,N/A,N/A,,None,None,"Increased Out of Combat Regen, Increased Spirit Power",2,Spirit,1,1
Mystic Slow,N/A,2s,Passive,Decreased Move Speed,Spirit Damage,"Bonus Health, Increased Sprint Speed",2,Spirit,0,1
Mystic Vulnerability,N/A,7s,Passive,Decreased Spirit Resist,Spirit Damage,Increased Spirit Resist,2,Spirit,0,1
Quicksilver Reload,18s,N/A,"Imbue, Passive","Increased Fire Rate, Weapon Reload",Ability Use,None,2,Spirit,0,1
Slowing Hex,27s,3.5s,Active,"Decreased Dash Distance, Movement Slow",Use Item,Increased Sprint Speed,2,Spirit,0,1
Spirit Sap,18s,12s,Active,"Decreased Spirit Power, Decreased Spirit Resist",Use Item,Bonus Health,2,Spirit,0,1
Suppressor,N/A,4.5s,Passive,Decreased Fire Rate,Spirit Damage,"Increased Bullet Resist, Increased Spirit Power",2,Spirit,0,0
Extra Health,N/A,N/A,,None,None,Bonus Health,1,Vitality,0,2
Extra Regen,N/A,N/A,,None,None,"Increased Health Regen, Increased Out of Combat Regen",1,Vitality,0,1
